monolith_controller_base,top_segment,suggested_target_service,suggestion_type,suggested_kong_match_prefix,suggested_upstream_path_prefix
/api/v1/admin/requests,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/settings,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/users,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/caregiver/tasks,caregiver,caregiver-service,kong_alias_route,/api/v1/caregiver,/api/v1/caregivers
/api/v1/internal/caregivers,internal,(unknown),needs_implementation_or_manual_mapping,,
/api/v1/patient/visits,patient,visit-service,kong_alias_route,/api/v1/patient/visits,/api/v1/visits
/api/v1/admin,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/activities,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/activity-log,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/agencies,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/ai-matching/batch,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/ai-matching/override,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/ai-matching/quality,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/approval,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/audit,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/auth,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/care-plans,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/caregivers/approval,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/caregivers/monitoring,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/caregivers/verification,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/compliance,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/dashboard,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/documents,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/documents/review,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/email,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/insights,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/launch,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/metrics,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/outbox,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/pam,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/phase2-rollback,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/phase2-rollout,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/pilot-program,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/providers/analytics,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/roles,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/settings,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/users,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/verification,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/admin/verification/enhanced,admin,admin-service,kong_alias_route,/api/v1/admin,/admin
/api/v1/agency,agency,agency-service,kong_alias_route,/api/v1/agency,/api/v1/agencies
/api/v1/agency-matching,agency-matching,(unknown),needs_implementation_or_manual_mapping,,
/api/v1/agency/:agencyId/training/assignments,agency,agency-service,kong_alias_route,/api/v1/agency,/api/v1/agencies
/api/v1/agency/admin,agency,agency-service,kong_alias_route,/api/v1/agency,/api/v1/agencies
/api/v1/agency/adoption,agency,agency-service,kong_alias_route,/api/v1/agency,/api/v1/agencies
/api/v1/agency/ai,agency,agency-service,kong_alias_route,/api/v1/agency,/api/v1/agencies
/api/v1/agency/analytics,agency,agency-service,kong_alias_route,/api/v1/agency,/api/v1/agencies
/api/v1/agency/analytics/reports,agency,agency-service,kong_alias_route,/api/v1/agency,/api/v1/agencies
/api/v1/agency/announcements,agency,agency-service,kong_alias_route,/api/v1/agency,/api/v1/agencies
